"offset [um]","PinCount []","Freq [GHz]","dB(St(VCC_moving_T1,VCC_moving_T1)) []"
-100,0,36.2,-5.23472363987617
-100,0,36.3,-5.15633692466818
-100,0,36.4,-5.06959074291906
-100,0,36.5,-4.97554379490976
-100,0,36.6,-4.87527294729779
-100,0,36.7,-4.76984837168029
-100,0,36.8,-4.66031589142066
-100,0,36.9,-4.54769345266748
-100,0,37,-4.43300125300783
-100,0,37.1,-4.31698057117394
-100,0,37.2,-4.19683338761529
-100,0,37.3,-4.07993549886221
-100,0,37.4,-3.96366405440234
-100,0,37.5,-3.84831600579239
-100,0,37.6,-3.73438951685716
-100,0,37.7,-3.62224339100517
-100,0,37.8,-3.51210577001689
-100,0,37.9,-3.40401802732393
-100,0,38,-3.29758035982858
-100,0,38.1,-3.19082984289523
-100,0,38.2,-3.09995214838284
-100,0,38.3,-3.0171089137268
-100,0,38.4,-2.92152281894577
-100,0,38.5,-2.83055499990739
-100,0,38.6,-2.7433573711877
-100,0,38.7,-2.65953548045118
-100,0,38.8,-2.57889824701484
-100,0,38.9,-2.50132259068212
-100,0,39,-2.42670948072098
-100,0,39.1,-2.35496846176378
-100,0,39.2,-2.28601202181466
-100,0,39.3,-2.21975379297397
-100,0,39.4,-2.15610842932787
-100,0,39.5,-2.09499235969421
-100,0,39.6,-2.03632518109756
-100,0,39.7,-1.98003178974947
-100,0,39.8,-1.9260456680863
-100,0,39.9,-1.87431422315057
-100,0,40,-1.82480784442283
-100,1,0.1,-4.09458427204785
-100,1,0.2,-4.07596900405097
-100,1,0.3,-4.04292267517177
-100,1,0.4,-3.99572946780057
-100,1,0.5,-3.93446104083983
-100,1,0.6,-3.85916798563626
-100,1,0.7,-3.76995326193628
-100,1,0.8,-3.6669995082224
-100,1,0.9,-3.55059028104324
-100,1,1,-3.42113207632467
-100,1,1.1,-3.27917697236198
-100,1,1.2,-3.12544469034636
-100,1,1.3,-2.96084268816458
-100,1,1.4,-2.78648274754061
-100,1,1.5,-2.6036923550122
-100,1,1.6,-2.41401905739592
-100,1,1.7,-2.21922596557984
-100,1,1.8,-2.02127670308144
-100,1,1.9,-1.82230842659534
-100,1,2,-1.62459212302643
-100,1,2.1,-1.43048023321287
-100,1,2.2,-1.24234279103306
-100,1,2.3,-1.06249460094097
-100,1,2.4,-0.893117381434805
-100,1,2.5,-0.73618203677699
-100,1,2.6,-0.593377017389689
-100,1,2.7,-0.46604882269826
-100,1,2.8,-0.355159944298497
-100,1,2.9,-0.261267943576633
-100,1,3,-0.184527135574746
-100,1,3.1,-0.124711886134688
-100,1,3.2,-0.0812582760390623
-100,1,3.3,-0.0533192354765305
-100,1,3.4,-0.0398274380775487
-100,1,3.5,-0.0395602951001246
-100,1,3.6,-0.0512021534249325
-100,1,3.7,-0.0734000133523677
-100,1,3.8,-0.104810457028997
-100,1,3.9,-0.144136774509375
-100,1,4,-0.190156334575682
-100,1,4.1,-0.24173900198688
-100,1,4.2,-0.297857852930259
-100,1,4.3,-0.357593633847313
-100,1,4.4,-0.420134410151038
-100,1,4.5,-0.484771729475189
-100,1,4.6,-0.550894435139705
-100,1,4.7,-0.617981053452442
-100,1,4.8,-0.685591470683449
-100,1,4.9,-0.753358430234946
-100,1,5,-0.820979223611436
-100,1,5.1,-0.888207822875592
-100,1,5.2,-0.954847605598194
-100,1,5.3,-1.02074475072972
-100,1,5.4,-1.08578233282468
-100,1,5.5,-1.14987510675829
-100,1,5.6,-1.21296495293385
-100,1,5.7,-1.27501693927917
-100,1,5.8,-1.33601595039403
-100,1,5.9,-1.39596383249028
-100,1,6,-1.45487700383481
-100,1,6.1,-1.51278448483243
-100,1,6.2,-1.56972630647527
-100,1,6.3,-1.62575226222774
-100,1,6.4,-1.6809209747626
-100,1,6.5,-1.73529925669683
-100,1,6.6,-1.78896175152145
-100,1,6.7,-1.84199085026038
-100,1,6.8,-1.89447688813064
-100,1,6.9,-1.94651863739131
-100,1,7,-1.99822412578346
-100,1,7.1,-2.04971182703991
-100,1,7.2,-2.10111229155761
-100,1,7.3,-2.15257031561805
-100,1,7.4,-2.20424778643199
-100,1,7.5,-2.25632739667318
-100,1,7.6,-2.30901750236277
-100,1,7.7,-2.3625585124977
-100,1,7.8,-2.41723137152075
-100,1,7.9,-2.4733689534224
-100,1,8,-2.5313715852868
-100,1,8.1,-2.59172854467415
-100,1,8.2,-2.65504838232478
-100,1,8.3,-2.72210257866076
-100,1,8.4,-2.79388982744355
-100,1,8.5,-2.87173302237015
-100,1,8.6,-2.9574293513303
-100,1,8.7,-3.05348835672293
-100,1,8.8,-3.16351649994545
-100,1,8.9,-3.29283575363487
-100,1,9,-3.4493932383485
-100,1,9.1,-3.6444339471304
-100,1,9.2,-3.88752947573365
-100,1,9.3,-4.12932984402172
-100,1,9.4,-3.78066566190666
-100,1,9.5,-1.39503301733618
-100,1,9.6,-1.1065095205513
-100,1,9.7,-2.01211956934613
-100,1,9.8,-2.61093369822678
-100,1,9.9,-1.72970254318615
-100,1,10,-2.30358029169117
-100,1,10.1,-2.67583784680731
-100,1,10.2,-2.97797179964921
-100,1,10.3,-3.26486599370098
-100,1,10.4,-3.56579800810325
-100,1,10.5,-3.90104532942088
-100,1,10.6,-4.27655679759391
-100,1,10.7,-4.63415129845431
-100,1,10.8,-4.65965109930239
-100,1,10.9,-3.57641044011271
-100,1,11,-1.56426683989178
-100,1,11.1,-0.465809955929542
-100,1,11.2,-0.429261544046832
-100,1,11.3,-0.737403275069981
-100,1,11.4,-1.09354092817909
-100,1,11.5,-1.44206617090397
-100,1,11.6,-1.80218568579144
-100,1,11.7,-2.23943085126821
-100,1,11.8,-2.9254499519163
-100,1,11.9,-4.05592201668968
-100,1,12,-1.37190475475881
-100,1,12.1,-0.789904086154549
-100,1,12.2,-1.09697176829741
-100,1,12.3,-1.34067730213958
-100,1,12.4,-1.5208853175416
-100,1,12.5,-1.66167455992179
-100,1,12.6,-1.77764873521149
-100,1,12.7,-1.87753073877289
-100,1,12.8,-1.96714082438845
-100,1,12.9,-2.0512231126694
-100,1,13,-2.13517744004835
-100,1,13.1,-2.22861262128527
-100,1,13.2,-2.35862758213754
-100,1,13.3,-2.57163131502356
-100,1,13.4,-1.86818848771057
-100,1,13.5,-2.11236613062766
-100,1,13.6,-2.22413334591698
-100,1,13.7,-2.29720741546556
-100,1,13.8,-2.35491182461804
-100,1,13.9,-2.4047443350685
-100,1,14,-2.44987091776262
-100,1,14.1,-2.49189859249257
-100,1,14.2,-2.5317599730905
-100,1,14.3,-2.57005551405467
-100,1,14.4,-2.60720582082312
-100,1,14.5,-2.64352715321732
-100,1,14.6,-2.67927231443285
-100,1,14.7,-2.71465458281351
-100,1,14.8,-2.74986279772502
-100,1,14.9,-2.78507163611938
-100,1,15,-2.82044925016673
-100,1,15.1,-2.85616354387002
-100,1,15.2,-2.89238794207429
-100,1,15.3,-2.9293073455697
-100,1,15.4,-2.96712499475452
-100,1,15.5,-3.00607120976458
-100,1,15.6,-3.0464155696797
-100,1,15.7,-3.08848542003944
-100,1,15.8,-3.13269665973099
-100,1,15.9,-3.17961044249064
-100,1,16,-3.23005098400067
-100,1,16.1,-3.28538933764655
-100,1,16.2,-3.34836543616749
-100,1,16.3,-3.42598982359335
-100,1,16.4,-3.5285126292158
-100,1,16.5,-3.3876377494094
-100,1,16.6,-3.50760599765437
-100,1,16.7,-3.61591774123783
-100,1,16.8,-3.72446013980812
-100,1,16.9,-3.84564127899203
-100,1,17,-3.99055738304287
-100,1,17.1,-4.17862051626276
-100,1,17.2,-4.45963214638272
-100,1,17.3,-4.60060393158832
-100,1,17.4,-3.93857033745164
-100,1,17.5,-4.44894889943271
-100,1,17.6,-4.84435564512981
-100,1,17.7,-5.20485409954827
-100,1,17.8,-5.40332271326645
-100,1,17.9,-4.96154619429586
-100,1,18,-3.34434663300513
-100,1,18.1,-1.44911386164601
-100,1,18.2,-0.605192224142511
-100,1,18.3,-0.591144995112355
-100,1,18.4,-0.840569004049203
-100,1,18.5,-1.11879126118181
-100,1,18.6,-1.36604872903835
-100,1,18.7,-1.57475879613265
-100,1,18.8,-1.74979444610696
-100,1,18.9,-1.89775316361377
-100,1,19,-2.02439654482859
-100,1,19.1,-2.13427217213382
-100,1,19.2,-2.23086532903585
-100,1,19.3,-2.31683152401365
-100,1,19.4,-2.39419733209614
-100,1,19.5,-2.46451174271965
-100,1,19.6,-2.52898044235581
-100,1,19.7,-2.58913398874189
-100,1,19.8,-2.6709366664549
-100,1,19.9,-2.72331810131573
-100,1,20,-2.76195514216475
-100,1,20.1,-2.80754990626205
-100,1,20.2,-2.85328198598664
-100,1,20.3,-2.8983346257126
-100,1,20.4,-2.94272311742872
-100,1,20.5,-2.98667268515002
-100,1,20.6,-3.03050590376954
-100,1,20.7,-3.07464303717435
-100,1,20.8,-3.11966373352765
-100,1,20.9,-3.16646254168797
-100,1,21,-3.21663982089446
-100,1,21.1,-3.27364068529629
-100,1,21.2,-3.34685816916619
-100,1,21.3,-3.46507166712157
-100,1,21.4,-3.1900184697161
-100,1,21.5,-3.25708922401789
-100,1,21.6,-3.35431148525287
-100,1,21.7,-3.42645559942728
-100,1,21.8,-3.49172766255206
-100,1,21.9,-3.55658844567948
-100,1,22,-3.62452921000211
-100,1,22.1,-3.69850062762218
-100,1,22.2,-3.78200676327563
-100,1,22.3,-3.88017441842207
-100,1,22.4,-4.00160530282485
-100,1,22.5,-4.16256493836421
-100,1,22.6,-4.39817080887904
-100,1,22.7,-4.79600122253787
-100,1,22.8,-5.526425836732
-100,1,22.9,-3.93053073755931
-100,1,23,-2.64575555390639
-100,1,23.1,-3.12700337542014
-100,1,23.2,-3.48997777073256
-100,1,23.3,-3.80105200842622
-100,1,23.4,-4.15164159406838
-100,1,23.5,-4.66478781803351
-100,1,23.6,-4.95923978789002
-100,1,23.7,-2.40603457894966
-100,1,23.8,-2.74192219533584
-100,1,23.9,-3.15095827763429
-100,1,24,-3.43123702950185
-100,1,24.1,-3.65656809284825
-100,1,24.2,-3.86823050541022
-100,1,24.3,-4.09693907721197
-100,1,24.4,-4.38113869153916
-100,1,24.5,-4.79077139047571
-100,1,24.6,-5.39755175105256
-100,1,24.7,-4.464090027749
-100,1,24.8,-3.08133143988493
-100,1,24.9,-3.69175514745777
-100,1,25,-3.33452294066188
-100,1,25.1,-3.74632926796549
-100,1,25.2,-4.55717679697111
-100,1,25.3,-5.1313879882734
-100,1,25.4,-2.49622769951493
-100,1,25.5,-2.85267378966478
-100,1,25.6,-3.39934450569584
-100,1,25.7,-4.23850541184137
-100,1,25.8,-2.84915954392206
-100,1,25.9,-2.84662461677643
-100,1,26,-3.21711862159085
-100,1,26.1,-3.47832730890448
-100,1,26.2,-3.82435661313881
-100,1,26.3,-3.57457195128366
-100,1,26.4,-3.80206061502341
-100,1,26.5,-4.16040361717353
-100,1,26.6,-3.82163614350657
-100,1,26.7,-3.54975409313603
-100,1,26.8,-3.66984775663064
-100,1,26.9,-3.71665088336525
-100,1,27,-3.77069456982699
-100,1,27.1,-3.88521866648365
-100,1,27.2,-3.97256425505774
-100,1,27.3,-4.04806921175192
-100,1,27.4,-4.11706968880028
-100,1,27.5,-4.18203498935999
-100,1,27.6,-4.24434052640037
-100,1,27.7,-4.30484869019994
-100,1,27.8,-4.36414671246759
-100,1,27.9,-4.42266000635625
-100,1,28,-4.48071231384827
-100,1,28.1,-4.53856030987143
-100,1,28.2,-4.59641482018507
-100,1,28.3,-4.65445453639929
-100,1,28.4,-4.7128353022363
-100,1,28.5,-4.7716966808179
-100,1,28.6,-4.83116681127019
-100,1,28.7,-4.89136618274798
-100,1,28.8,-4.95241074464572
-100,1,28.9,-5.01441465881675
-100,1,29,-5.07749294663689
-100,1,29.1,-5.1417642791106
-100,1,29.2,-5.20735419798414
-100,1,29.3,-5.27439915744992
-100,1,29.4,-5.34305197043518
-100,1,29.5,-5.41348960557481
-100,1,29.6,-5.48592495640834
-100,1,29.7,-5.56062550988137
-100,1,29.8,-5.63794447795506
-100,1,29.9,-5.71837559527881
-100,1,30,-5.80265565290123
-100,1,30.1,-5.89197049486295
-100,1,30.2,-5.98840461458825
-100,1,30.3,-6.09601350892592
-100,1,30.4,-6.22347969553208
-100,1,30.5,-6.38629907181829
-100,1,30.6,-6.43232112956261
-100,1,30.7,-6.03958579106973
-100,1,30.8,-6.20585790007032
-100,1,30.9,-6.36640688628114
-100,1,31,-6.50208559896117
-100,1,31.1,-6.62704388050258
-100,1,31.2,-6.74796185186748
-100,1,31.3,-6.86808868879842
-100,1,31.4,-6.98920700425348
-100,1,31.5,-7.11241899721135
-100,1,31.6,-7.23848658958675
-100,1,31.7,-7.36799325040555
-100,1,31.8,-7.50142845529165
-100,1,31.9,-7.63923641248976
-100,1,32,-7.78184812922067
-100,1,32.1,-7.92970698561336
-100,1,32.2,-8.08329500308401
-100,1,32.3,-8.24316770250818
-100,1,32.4,-8.41001066229418
-100,1,32.5,-8.58474576347131
-100,1,32.6,-8.7687572865434
-100,1,32.7,-8.96444291137497
-100,1,32.8,-9.17681827901007
-100,1,32.9,-9.41964257436405
-100,1,33,-9.75399908534436
-100,1,33.1,-11.5213650836724
-100,1,33.2,-9.59811854883292
-100,1,33.3,-10.0115708175345
-100,1,33.4,-10.4142052881274
-100,1,33.5,-10.4373992895352
-100,1,33.6,-10.7570360992524
-100,1,33.7,-11.042308877548
-100,1,33.8,-11.3251388961339
-100,1,33.9,-11.6104874910309
-100,1,34,-11.8991178891773
-100,1,34.1,-12.1901514229883
-100,1,34.2,-12.4815726786245
-100,1,34.3,-12.7702844125682
-100,1,34.4,-13.052023667775
-100,1,34.5,-13.321244929149
-100,1,34.6,-13.571040219403
-100,1,34.7,-13.7931696328958
-100,1,34.8,-13.9782852013145
-100,1,34.9,-14.1164251847044
-100,1,35,-14.1978147362185
-100,1,35.1,-14.2139210205335
-100,1,35.2,-14.1585914297589
-100,1,35.3,-14.0290051469378
-100,1,35.4,-13.8261614140285
-100,1,35.5,-13.5547473941895
-100,1,35.6,-13.2224295377026
-100,1,35.7,-12.8387900640717
-100,1,35.8,-12.4141974063255
-100,1,35.9,-11.9588467637332
-100,1,36,-11.482091454859
-100,1,36.1,-10.9920756455809
-100,1,36.2,-10.4956115537185
-100,1,36.3,-9.99822168600438
-100,1,36.4,-9.50427339890694
-100,1,36.5,-9.01715203047874
-100,1,36.6,-8.53943895597643
-100,1,36.7,-8.07307779268169
-100,1,36.8,-7.61952698041511
-100,1,36.9,-7.17991771523341
-100,1,37,-6.75497648019282
-100,1,37.1,-6.34174186523879
-100,1,37.2,-5.94661667338674
-100,1,37.3,-5.56712357276051
-100,1,37.4,-5.20301895526885
-100,1,37.5,-4.85435477133101
-100,1,37.6,-4.52107292106987
-100,1,37.7,-4.20303152104226
